,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,predictions,Norm_Food
83,0.31690140845070425,0.4553763440860215,Thane West,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,76.5,24.2
84,0.352112676056338,0.5483870967741935,Thane West,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,80.0,28.2
85,0.352112676056338,0.45698924731182794,Thane West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,28.2
86,0.2112676056338028,0.27956989247311825,Thane West,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,80.0,16.9
87,0.3873239436619718,0.6989247311827957,Thane West,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1,79.5,30.8
88,0.2992957746478873,0.42096774193548386,Thane West,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1,79.5,23.8
89,0.2992957746478873,0.42096774193548386,Thane West,2,0,1,1,1,0,1,1,1,1,0,0,1,1,1,79.5,23.8
90,0.9718309507042253,0.8602150537634409,Thane West,3,0,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,77.7
91,0.2640845070422535,0.3682795698924731,Thane West,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,80.0,21.1
92,0.4471830985915493,0.5645161290322581,Thane West,2,1,1,0,0,0,0,0,1,1,1,1,0,1,1,76.5,34.2
93,0.45774647887323944,0.6182795698924731,Thane West,3,0,1,1,0,0,0,1,1,1,1,0,1,0,1,80.0,36.6
94,0.22887323943661972,0.3672043010752688,Thane West,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,80.0,18.3
95,0.2112676056338028,0.1881720430107527,Thane West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,16.9
96,0.21123239436619717,0.5080645161290323,Thane West,2,0,1,1,1,0,0,1,1,1,1,1,0,1,1,80.0,16.9
97,0.20066901408450705,0.48655913978494625,Thane West,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,80.0,16.1
98,0.14433098591549295,0.3161290322580645,Thane West,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,80.0,11.5
99,0.22887323943661972,0.48494623655913977,Thane West,2,0,1,1,1,0,0,1,1,1,0,0,0,1,1,80.0,18.3
100,0.19362676056338027,0.48494623655913977,Thane West,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,80.0,15.5
101,0.14433098591549295,0.3172043010752688,Thane West,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,80.0,11.5
102,0.18658450704225352,0.48655913978494625,Thane West,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,80.0,14.9
103,0.1548943661971831,0.33064516129032256,Thane West,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,80.0,12.4
104,0.19714788732394367,0.48655913978494625,Thane West,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,80.0,15.8
105,0.21091549295774648,0.48655913978494625,Thane West,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,80.0,16.9
106,0.18658450704225352,0.3467741935483871,Thane West,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,80.0,14.9
107,0.30633802816901406,0.3790322580645161,Thane West,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1,79.5,24.4
108,0.30985915492957744,0.5913978494623656,Thane West,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,24.8
109,0.17253521126760563,0.128494623655914,Thane West,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,73.0,12.6
110,0.2007042253521127,0.1521505376344086,Thane West,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,75.0,15.1
111,0.2236267605633803,0.18924731182795698,Thane West,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,80.0,17.9
112,0.24295774647887325,0.23655913978494625,Thane West,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,79.5,19.3
113,0.26757038732394367,0.21505376344086022,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1,79.5,21.3
114,0.34507042253521125,0.32204301075268815,Thane West,2,1,1,1,0,0,1,1,1,1,1,1,0,1,1,78.0,26.9
115,0.5140845070422535,0.5150537634408602,Thane West,3,1,1,1,0,0,1,1,1,1,1,1,0,1,1,73.0,37.5
116,0.6514084507042254,0.6311827956989248,Thane West,3,1,1,1,0,0,1,1,1,1,1,1,0,1,1,80.0,52.1
117,0.28169014084507044,0.2252688172043011,Thane West,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,78.0,22.0
118,0.4507042253521127,0.3790322580645161,Thane West,2,1,1,1,1,0,0,1,1,1,1,1,0,1,1,77.0,34.7
119,0.4753521126760563,0.5005376344086021,Thane West,3,1,1,1,0,0,0,1,1,1,0,0,0,0,1,77.0,36.6
120,0.38028169014084506,0.6774193548387096,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,30.4
121,0.3767605633802817,0.6666666666666666,Thane West,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,30.1
122,0.3732394366197183,0.6612903225806451,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,29.9
123,0.31408450704225355,0.4026881720430108,Thane West,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,70.5,22.1
124,0.2577464788732394,0.4010752688172043,Thane West,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,20.6
125,0.4612676056338028,0.6129032258064516,Thane West,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,36.9
126,0.4612676056338028,0.6129032258064516,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,36.9
127,0.2992957746478873,0.30913978494623656,Thane West,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,73.0,21.8
128,0.7746478873239436,0.7526881720430108,Thane West,3,1,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,62.0
129,0.6866197183098591,0.6989247311827957,Thane West,3,1,1,1,1,0,0,1,1,1,0,0,1,1,1,80.0,54.9
130,0.7570422535211268,0.8870967741935484,Thane West,3,1,1,1,0,0,1,1,1,1,0,0,1,1,1,80.0,60.6
131,0.6161971830985915,0.7258064516129032,Thane West,3,1,1,1,0,0,1,1,1,1,0,0,0,1,1,80.0,49.3
132,0.6161971830985915,0.7258064516129032,Thane West,3,1,1,1,0,0,1,1,1,1,0,0,1,1,1,80.0,49.3
133,0.6161971830985915,0.9543010752688172,Thane West,3,1,1,1,0,0,0,1,1,1,0,0,0,1,1,80.0,49.3
134,0.5387323943661971,0.6854838709677419,Thane West,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1,80.0,43.1
135,0.3873239436619718,0.6268817204301075,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,0,1,1,79.5,30.8
136,0.6232394366197183,0.7193548387096774,Thane West,3,1,1,1,0,0,0,1,1,1,0,0,0,0,1,80.0,49.9
137,0.5809859154929577,0.6559139784946236,Thane West,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1,80.0,46.5
138,0.3908450704225352,0.47634408602150535,Thane West,2,1,1,1,0,0,0,1,1,1,1,1,0,0,1,78.5,30.7
139,0.4225352112676056,0.5623655913978495,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1,78.0,33.0
140,0.46830985915492956,0.6225806451612903,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1,80.0,37.5
141,0.6619718309859155,0.8935483870967742,Thane West,3,1,1,1,0,0,0,1,1,1,0,0,0,0,1,80.0,53.0
142,0.38028169014084506,0.4989247311827957,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1,79.0,30.0
143,0.3345070422535211,0.5645161290322581,Thane West,2,0,1,1,0,0,0,1,1,1,1,0,1,0,1,80.0,26.8
144,0.1936619718309859,0.3,Thane West,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,80.0,15.5
145,0.31690140845070425,0.3634408602150538,Thane West,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1,79.0,25.0
